Version,Bundling/Dropping Time (ms),Number of CPU Jiffies
acrylicPaintBundling,200,188
acrylicPaintBundling,200,189
acrylicPaintBundling,200,191
acrylicPaintBundling,200,242
acrylicPaintBundling,200,239
acrylicPaintBundling,200,189
acrylicPaintBundling,200,185
acrylicPaintBundling,200,189
acrylicPaintBundling,200,191
acrylicPaintBundling,200,187
acrylicPaintBundling,200,190
acrylicPaintBundling,200,184
acrylicPaintBundling,2000,167
acrylicPaintBundling,2000,168
acrylicPaintBundling,2000,170
acrylicPaintBundling,2000,170
acrylicPaintBundling,2000,171
acrylicPaintBundling,2000,169
acrylicPaintBundling,2000,237
acrylicPaintBundling,2000,174
acrylicPaintBundling,2000,174
acrylicPaintBundling,2000,236
acrylicPaintBundling,2000,170
acrylicPaintBundling,2000,163
acrylicPaintDropping,30,228
acrylicPaintDropping,30,232
acrylicPaintDropping,30,219
acrylicPaintDropping,30,236
acrylicPaintDropping,30,228
acrylicPaintDropping,30,228
acrylicPaintDropping,30,228
acrylicPaintDropping,30,231
acrylicPaintDropping,30,232
acrylicPaintDropping,30,234
acrylicPaintDropping,30,237
acrylicPaintDropping,100,190
acrylicPaintDropping,100,196
acrylicPaintDropping,100,197
acrylicPaintDropping,100,192
acrylicPaintDropping,100,197
acrylicPaintDropping,100,193
acrylicPaintDropping,100,188
acrylicPaintDropping,100,198
acrylicPaintDropping,100,198
acrylicPaintDropping,100,196
acrylicPaintDropping,10,264
acrylicPaintDropping,10,269
acrylicPaintDropping,10,274
acrylicPaintDropping,10,274
acrylicPaintDropping,10,278
acrylicPaintDropping,10,268
acrylicPaintDropping,10,274
acrylicPaintDropping,10,267
acrylicPaintDropping,10,277
acrylicPaintDropping,10,269
acrylicPaintDropping,500,183
acrylicPaintDropping,500,177
acrylicPaintDropping,500,242
acrylicPaintDropping,500,184
acrylicPaintDropping,500,174
acrylicPaintDropping,500,167
acrylicPaintDropping,500,170
acrylicPaintDropping,500,170
acrylicPaintDropping,500,182
acrylicPaintDropping,500,168
acrylicPaintDropping,500,188
acrylicPaintBundling,1000,172
acrylicPaintBundling,1000,177
acrylicPaintBundling,1000,174
acrylicPaintBundling,1000,168
acrylicPaintBundling,1000,179
acrylicPaintBundling,1000,174
acrylicPaintBundling,1000,169
acrylicPaintBundling,1000,171
acrylicPaintBundling,1000,172
acrylicPaintBundling,10,279
acrylicPaintBundling,10,263
acrylicPaintBundling,10,268
acrylicPaintBundling,10,268
acrylicPaintBundling,10,278
acrylicPaintBundling,10,276
acrylicPaintBundling,10,270
acrylicPaintBundling,10,273
acrylicPaintBundling,10,274
acrylicPaintBundling,10,274
acrylicPaintOriginal,10,242
acrylicPaintOriginal,10,246
acrylicPaintOriginal,10,242
acrylicPaintOriginal,10,242
acrylicPaintOriginal,10,239
acrylicPaintOriginal,10,237
acrylicPaintOriginal,10,233
acrylicPaintOriginal,10,236
acrylicPaintOriginal,10,237
acrylicPaintOriginal,10,238
acrylicPaintOriginal,30,242
acrylicPaintOriginal,30,246
acrylicPaintOriginal,30,242
acrylicPaintOriginal,30,242
acrylicPaintOriginal,30,239
acrylicPaintOriginal,30,237
acrylicPaintOriginal,30,233
acrylicPaintOriginal,30,236
acrylicPaintOriginal,30,237
acrylicPaintOriginal,30,238
acrylicPaintOriginal,100,242
acrylicPaintOriginal,100,246
acrylicPaintOriginal,100,242
acrylicPaintOriginal,100,242
acrylicPaintOriginal,100,239
acrylicPaintOriginal,100,237
acrylicPaintOriginal,100,233
acrylicPaintOriginal,100,236
acrylicPaintOriginal,100,237
acrylicPaintOriginal,100,238
acrylicPaintOriginal,200,242
acrylicPaintOriginal,200,246
acrylicPaintOriginal,200,242
acrylicPaintOriginal,200,242
acrylicPaintOriginal,200,239
acrylicPaintOriginal,200,237
acrylicPaintOriginal,200,233
acrylicPaintOriginal,200,236
acrylicPaintOriginal,200,237
acrylicPaintOriginal,200,238
acrylicPaintOriginal,500,242
acrylicPaintOriginal,500,246
acrylicPaintOriginal,500,242
acrylicPaintOriginal,500,242
acrylicPaintOriginal,500,239
acrylicPaintOriginal,500,237
acrylicPaintOriginal,500,233
acrylicPaintOriginal,500,236
acrylicPaintOriginal,500,237
acrylicPaintOriginal,500,238
acrylicPaintOriginal,1000,242
acrylicPaintOriginal,1000,246
acrylicPaintOriginal,1000,242
acrylicPaintOriginal,1000,242
acrylicPaintOriginal,1000,239
acrylicPaintOriginal,1000,237
acrylicPaintOriginal,1000,233
acrylicPaintOriginal,1000,236
acrylicPaintOriginal,1000,237
acrylicPaintOriginal,1000,238
acrylicPaintOriginal,2000,242
acrylicPaintOriginal,2000,246
acrylicPaintOriginal,2000,242
acrylicPaintOriginal,2000,242
acrylicPaintOriginal,2000,239
acrylicPaintOriginal,2000,237
acrylicPaintOriginal,2000,233
acrylicPaintOriginal,2000,236
acrylicPaintOriginal,2000,237
acrylicPaintOriginal,2000,238
acrylicPaintDropping,200,185
acrylicPaintDropping,200,192
acrylicPaintDropping,200,192
acrylicPaintDropping,200,184
acrylicPaintDropping,200,185
acrylicPaintDropping,200,192
acrylicPaintDropping,200,233
acrylicPaintDropping,200,188
acrylicPaintDropping,200,185
acrylicPaintDropping,200,186
acrylicPaintDropping,200,186
acrylicPaintBundling,30,225
acrylicPaintBundling,30,236
acrylicPaintBundling,30,242
acrylicPaintBundling,30,234
acrylicPaintBundling,30,233
acrylicPaintBundling,30,226
acrylicPaintBundling,30,234
acrylicPaintBundling,30,227
acrylicPaintBundling,30,234
acrylicPaintBundling,30,232
acrylicPaintBundling,30,224
acrylicPaintDropping,1000,171
acrylicPaintDropping,1000,178
acrylicPaintDropping,1000,169
acrylicPaintDropping,1000,178
acrylicPaintDropping,1000,170
acrylicPaintDropping,1000,169
acrylicPaintDropping,1000,171
acrylicPaintDropping,1000,169
acrylicPaintDropping,1000,172
acrylicPaintBundling,100,195
acrylicPaintBundling,100,193
acrylicPaintBundling,100,204
acrylicPaintBundling,100,190
acrylicPaintBundling,100,204
acrylicPaintBundling,100,196
acrylicPaintBundling,100,194
acrylicPaintBundling,100,206
acrylicPaintBundling,100,192
acrylicPaintDropping,2000,167
acrylicPaintDropping,2000,168
acrylicPaintDropping,2000,172
acrylicPaintDropping,2000,171
acrylicPaintDropping,2000,170
acrylicPaintDropping,2000,166
acrylicPaintDropping,2000,170
acrylicPaintDropping,2000,165
acrylicPaintDropping,2000,238
acrylicPaintDropping,2000,159
acrylicPaintDropping,2000,170
acrylicPaintBundling,500,180
acrylicPaintBundling,500,181
acrylicPaintBundling,500,246
acrylicPaintBundling,500,179
acrylicPaintBundling,500,176
acrylicPaintBundling,500,175
acrylicPaintBundling,500,174
acrylicPaintBundling,500,181
acrylicPaintBundling,500,183
acrylicPaintBundling,500,178
acrylicPaintBundling,500,178
